noi_id	lc_flag	tag	cat_prod_id	obj_id	ra_deg	dec_deg	epoch_sec	period_sec	width_sec
104442	AS	CYCLE1802	5068244	012040	343.343200368246	2.85114187349429	NULL	NULL	NULL
104442	AS	CYCLE1807_DC	5068244	012040	343.343200368246	2.85114187349429	105966570	417126.742534526	7930.94
104442	AS	CYCLE1807	5068244	012040	343.343200368246	2.85114187349429	105966594	417125.715264538	7930.94
104453	AS	CYCLE1802	5068244	018928	343.841804177657	1.98506193390563	NULL	NULL	NULL
104453	AS	CYCLE1807_DC	5068244	018928	343.841804177657	1.98506193390563	106467082	842294.236369797	16335.6
104453	AS	CYCLE1807	5068244	018928	343.841804177657	1.98506193390563	105735103	57413.1748716105	15491.2
104477	AS	CYCLE1802	5090017	005423	84.898950854935	-4.34945165685943	NULL	NULL	NULL
104477	AS	CYCLE1807_DC	5090017	005423	84.898950854935	-4.34945165685943	114538496	583032.426131635	6532.11
104477	AS	CYCLE1807	5090017	005423	84.898950854935	-4.34945165685943	NULL	NULL	NULL
104478	AS	CYCLE1802	5090017	015450	83.536751587246	-5.1720360980398	NULL	NULL	NULL
104478	AS	CYCLE1807_DC	5090017	015450	83.536751587246	-5.1720360980398	114516629	804702.364100939	9566.78
104478	AS	CYCLE1807	5090017	015450	83.536751587246	-5.1720360980398	NULL	NULL	NULL
104481	AS	CYCLE1802	5090017	016614	83.2069559031719	-5.254637844541	114622730	444736.734519915	10504.1
104481	AS	CYCLE1807_DC	5090017	016614	83.2069559031719	-5.254637844541	114517234	482767.031632199	7179.53
104481	AS	CYCLE1807	5090017	016614	83.2069559031719	-5.254637844541	NULL	NULL	NULL
104493	AS	CYCLE1807_DC	5068246	011606	354.00015328492	-39.589207354025	74220504	704218.530908712	10773.9
104493	AS	CYCLE1807	5068246	011606	354.00015328492	-39.589207354025	73824139	30541.3443686562	10078.8
104497	AS	CYCLE1807_DC	5068181	003807	87.6223726732617	-32.5620628491058	82125705	98983.5530110198	10427
104497	AS	CYCLE1807	5068181	003807	87.6223726732617	-32.5620628491058	NULL	NULL	NULL
104498	AS	CYCLE1807_DC	5068181	016569	87.702893773387	-33.4240429676451	82260965	284913.395902505	9729.77
104498	AS	CYCLE1807	5068181	016569	87.702893773387	-33.4240429676451	NULL	NULL	NULL
104500	AS	CYCLE1807_DC	5068181	024647	86.9690172678258	-33.9814103095803	82229749	313761.130019476	9817.41
104500	AS	CYCLE1807	5068181	024647	86.9690172678258	-33.9814103095803	NULL	NULL	NULL
104515	AS	CYCLE1807_DC	5068246	001671	352.796154858787	-38.1784488564318	73892460	159818.752973642	7932.25
104515	AS	CYCLE1807	5068246	001671	352.796154858787	-38.1784488564318	73881990	235699.966683042	6556.49
