TIC ID,Linked TIC ID,TOI ID,t_zero_1,width_1,depth_1,t_zero_2,width_2,depth_2,RA (decimal deg),Dec (decimal deg),Sector of first transit,Sector of second transit,T0 (BTJD),T0_uncertainty (days),Period (days),Period_uncertainty (days),Duration (hrs),Duration_uncertainty (hrs),Depth (ppm),Depth_uncertainty (ppm),R_planet (R_Earth),Active_Aliases,NGTS data? /comment,Recent TESS sectors -check LC,Upcoming TESS sectors,RV - Solène notes,Published?,Simbad,Papers
287204963,287204963,-,2458402.939,0.18690486,0.015139222,2459132.332,0.2081387,0.009310405,30.28721788,-11.88352065,3,30,1402.939,0.00018,729.393,0.00084,0.1869,0.00661,15139,37.66996,11.91556,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42",yes,-,"97,108",,,,
290165539,290165539,-,2458332.756,0.4755103224,0.01447940776,2460170.781,0.4473505851,0.01330174449,319.8521058,-25.59712272,1,68,1332.756,0.00042,1838.025,0.00095,0.47551,0.02841,14479,39.67346,19.11895,"1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,18,19,21,24,25,30,33,35,36,38,39,41,50,53,57",yes,"92,95 - ANOTHER TRANSIT in 95",116,,,,
290512115,290512115,-,2459965.169,0.1301963543,0.003116354089,2460711.17,0.09729682093,0.003709325783,139.327826,2.179180459,60,87,2965.169,0.00041,746.001,0.04765,0.1302,0.03961,3116,47.49765,9.21858,"1,2,3,4,5,6,7,8,9,10,13,17,18,19,20,21,25,26",no,-,99,,,,
292719109,292719109,-,2458499.71,0.330255,0.0031343102,2459222.323,0.37117168,0.002977689,107.4159565,3.567556676,7,33,1499.71,0.00014,722.613,0.00051,0.33026,0.02125,3134,4.22187,11.84287,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27",yes,-,111,,,Star,
296737508,296737508,-,2458538.004,0.217340398,0.001661106138,2460005.984,0.2143287021,0.001574769627,142.1792643,-14.68642981,8,62,1538.004,0.00007,1467.98,0.0003,0.21734,0.00411,1661,5.31669,5.87414,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,36,38,40,42,44,46,48,50,52",yes,-,"99,112,113",,,Star,"Cannon+1993 [1993yCat.3135....0C],Bourgés+2014 [2014ASPC..485..223B],Kunder+2017 [2017AJ....153...75K],Ruiz-Dern+2018 [2018A&A...609A.116R],Cruzalèbes+2019 [2019MNRAS.490.3158C],Steinmetz+2020 [2020AJ....160...83S],Eisner+2021 [2021MNRAS.501.4669E],Perdelwitz+2024 [2024A&A...683A.125P]"
304339227,304339227,-,2458673.346,0.24149261,0.0008614063,2459388.035,0.1928184,0.00047564507,275.9438527,-68.34488606,13,39,1673.346,0.00121,714.689,0.0023,0.24149,0.11856,861,5.52569,2.94002,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",yes,93 - nothing there,"100,101,102,103,114",,,High Proper Motion Star,"Ruiz-Dern+2018 [2018A&A...609A.116R],Collaboration+2021 [2021A&A...649A...6G],Eisner+2021 [2021MNRAS.501.4669E]"
308211363,308211363,-,2458580.392,0.2903501378,0.01401826033,2459327.207,0.2890563381,0.01603671511,198.1542101,-17.86909723,10,37,1580.392,0.00039,746.815,0.00049,0.29035,0.04267,14018,83.75529,11.53255,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21,22",yes,91 - nothing there,115,,,,
321152953,321152953,-,2458667.496,0.1659447496,0.00919473838,2460142.84,0.1282455544,0.008077083888,347.4036256,-84.44856613,13,67,1667.496,0.00017,1475.344,0.00051,0.16594,0.01936,9195,36.68322,18.18652,"1,2,3,5,6,7,9,10,11,13,14,18,22,26",no,"93,94 - crazy LCs, esp 93",-,,,,
323295479,323295479,-,2458622.93,0.23690921,0.009120166,2459365.442,0.26086265,0.008683602,130.7986487,-83.06100025,11,38,1622.93,0.00011,742.512,0.00018,0.23691,0.01387,9120,14.88836,10.08034,"1,2,3,4,5,6,7,8,9,10,11,12,13",yes,"93,94 - ANOTHER TRANSIT in 93",-,,,High Proper Motion Star,"Ruiz-Dern+2018 [2018A&A...609A.116R],Eisner+2021 [2021MNRAS.501.4669E]"
332657786,332657786,-,2458536.766,0.1244763641,0.03758840488,2459998.98,0.1315262658,0.04099340389,149.991571,-16.15905162,8,61,1536.766,0.0001,1462.214,0.00022,0.12448,0.01795,37588,140.75047,4.63082,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,62,64,66,68,70,72,74,76",yes,-,"99,100,113",,,High Proper Motion Star,"Kirkpatrick+2016 [2016ApJS..224...36K],Collaboration+2021 [2021A&A...649A...6G],Eisner+2021 [2021MNRAS.501.4669E],Hardegree-Ullman+2023 [2023AJ....165..267H]"
